Braid word,Braid string,Braid index,Euler characteristic lower bound,Euler characteristic upper bound,Rasmussen s-invariant,Arf invariant,Signature
"[-5, -2, -1, 2, -3, 2, -3, -4, 3, 3, -4, -2, 3, -1, 3, 2, -4, -2, -3, 2, 4, -1, -2, -3, 1, 5, -2, 3, 4, -3, 2]",ebaBcBcdCCdbCaCBdbcBDabcAEbCDcB,6,1,1,NC,1,1
"[-1, -2, -3, -2, 3]",abaB,4,1,1,NC,1,1
"[-2, -2, 4, -1, 2, 4, 1, 2, -3, -2, -1, -4, -3, -2, -4, 2, 2, -3]",bbDaBDABcbadcbdBBc,5,1,1,NC,1,1
"[4, 1, 3, -2, 4, -3, -4, 3, -4, 2, -3, -1, 4, 3, -4, 3, 1, 1, -2, -1, -1, -4, 3, 4, 4, 3, -4, -3]",DACbDcdCdBcaDCdCAAbaadCDDCdc,5,-1,-1,-2,NC,NC
[1],,2,1,1,NC,1,1
"[-3, -5, 2, -3, 4, -5, -4, -2, 4, -3, 5, 4, -3, -1, 2, 1, -4, -5, 3, -4, 5, 3, -4]",ceBcDedbDcEDcaBAdeCdECd,6,1,1,NC,1,1
"[3, -2, 1, 1, 1, 2, 3, 3, 1, -2, -1, -3, 2, 3, -2, -1, 2]",CbAAABCCAbacBCbaB,4,-1,-1,-2,NC,NC
"[-1, 3, 3, 3, 1, 1, 3, -2, -3]",aCCCAACbc,4,-1,-1,-2,NC,NC
"[-5, -6, -4, 3, -2, -3, 5, -6, -4, 3, 2, -3, -4, -2, -3, 2, 1, 3, 2, -3, -6, -4, -5, 4, 6, -2, -3, -1, 4, 6, -5, -5, 3, 2, -3, 4, -5, 6]",efdCbcEfdCBcdbcBACBcfdeDFbcaDFeeCBcDeF,7,1,1,NC,1,1
"[2, -3, 1, 2, -4, -3, -2, 3, 4, -1, 2, -3, -2, -1]",BcABdcbCDaBcba,5,1,1,NC,1,1
"[-5, -4, 5, -3, 4, 5, -4, -5, -4, 5, 3, -2, -3, -5, 4, 5, 2, -5, -3, -4, 5, 4, 3, 5, -1, -2, -1, -3, 2]",edEcDEdedECbceDEBecdEDCEabacB,6,1,1,NC,1,1
"[1, 1, 1]",AAA,2,-1,-1,-2,NC,NC
[-1],,2,1,1,NC,1,1
"[-1, -3, 2, 3, 1, 2, -3, -2, -1, 4, -3, -4, -1, -3, -2, 3, 2, -3, -2, -3, 4, 1, 2, 3, -4, -3, -2, -1, -4, 3]",acBCABcbaDcdacbCBcbcDABCdcbadC,5,-1,-1,2,NC,NC
"[3, 1, -3, 2, 3, 1, -4, -3, 2, 3, -1, -3, -2, 3, 4, -1, -3, -2, 3, -4, -4, -3, 2, -4, 2, -3, -2, 4, 4, -1, -3, -2]",CAcBCAdcBCacbCDacbCddcBdBcbDDacb,5,1,1,NC,1,1
"[-2, -1]",,3,1,1,NC,1,1
"[3, -4, -3, -2, -3, 5, 4, -5, 3, -2, -3, 1, -2, 3, -1, -3, -2, 1, 3, 2, 3, 1, 2, 5, -4, -5, 3, 1, 1, 2, -1, -1, 2]",CdcbcEDeCbcAbCacbACBCABEdeCAABaaB,6,1,1,NC,1,1
"[-1, 2, -1, -2, -2, 3, 1, -2, -1, -2, 1, -3, 2]",aBabbCAbabAcB,4,1,1,NC,1,1
"[1, 2, 2, 3, 3, 2, -3, 2, -1, -2, -1, -3, 2, 2, -3]",ABBCCBcBabacBBc,4,-1,-1,-2,NC,NC
"[2, 3, -2, -3, 1, -2, -3, 2, -1, -3, 2, -3, 2, -1, 2, -1, -2, 1, -2, -2, 3, -2, -1]",BCbcAbcBacBcBaBabAbbCba,4,-1,-1,2,NC,NC
"[3, -1, 2, -4, -3, 4, 2, 2, 2, -4, -3, 4, 2, -4, 3, 3, 4, -3, 4, -2, -4, 3, 4, 1, -3, 2]",CaBdcDBBBdcDBdCCDcDbdCDAcB,5,-1,-1,-2,NC,NC
"[-1, -3, -2, 3, 1, -4, -5, -1, 2, -1, -4, 3, 2, -3, 4, -2, 1, 4, -3, -2, -1, 2, 3, 5, 4]",acbCAdeaBadCBcDbADcbaBCED,6,1,1,NC,1,1
"[3, 1, 1, -4, -2, -3, -2, 3, 4, -3, -3, -2, 1, -4, -3, -2, 1, 2, 3, 1, 4, 3, -4, -1, 4, -3, 2, 3, -1, 2, 4, 3, 2, 3, 2, 4, -1, -1]",CAAdbcbCDccbAdcbABCADCdaDcBCaBDCBCBDaa,5,-1,-1,-2,NC,NC
"[2, 1]",,3,1,1,NC,1,1
"[2, 3, -1, 2, 3, 3, 2, -1, -3, -3, -2, 1, -3]",BCaBCCBaccbAc,4,1,1,NC,1,1
