Braid word,Simplified braid word,Braid string,Braid index,Euler characteristic lower bound,Euler characteristic upper bound,Rasmussen s-invariant,Arf invariant,Signature,Determinant,Alexander Polynomial
"[1, -4, -3, 2, 1, -2, 3, 4, -1, 4, 2, -1, -2, -4, -3, 4, 2, -1, -2, -4, 3, -1, -3, 2, -1, -2, 3, 1]","[1, -4, -3, 2, 1, -2, 3, 4, -1, 4, 2, -1, -2, -4, -3, 4, 2, -1, -2, -4, 3, -1, -3, 2, -1, -2, 3, 1]",AdcBAbCDaDBabdcDBabdCacBabCA,5,1,1,0,0,0,1,"['[', '[', '0', ',', '1', ']', ']']"
"[4, 5, 2, 3, 1, -2, -5, -4, 5, -3, -5, 4, 5, -3, -3, 1, 1, 2, -1, -1, 3, -5, 3, 3, -5]","[4, 5, 2, 3, 1, -2, -5, -4, 5, -3, -5, 4, 5, -3, -3, 1, 1, 2, -1, -1, 3, -5, 3, 3, -5]",DEBCAbedEceDEccAABaaCeCCe,6,1,1,0,0,0,9,"['[', '[', '-', '2', ',', '1', ']', ',', '[', '-', '1', ',', '-', '2', ']', ',', '[', '0', ',', '3', ']', ',', '[', '1', ',', '-', '2', ']', ',', '[', '2', ',', '1', ']', ']']"
"[3, 4, 3, 2, 1, -2, -3, -4, -4, 3, 4, -3, 2, 1]","[3, 4, 3, 2, 1, -2, -3, -4, -4, 3, 4, -3, 2, 1]",CDCBAbcddCDcBA,5,1,1,0,0,0,9,"['[', '[', '-', '2', ',', '1', ']', ',', '[', '-', '1', ',', '-', '2', ']', ',', '[', '0', ',', '3', ']', ',', '[', '1', ',', '-', '2', ']', ',', '[', '2', ',', '1', ']', ']']"
"[1, -4, 2, -3, -2, 4, -1, 4, 2, 3, -2, -4, -4, -4, -3, -4]","[1, -4, 2, -3, -2, 4, -1, 4, 2, 3, -2, -4, -4, -4, -3, -4]",AdBcbDaDBCbdddcd,5,-1,-1,2,1,-2,3,"['[', '[', '-', '1', ',', '1', ']', ',', '[', '0', ',', '-', '1', ']', ',', '[', '1', ',', '1', ']', ']']"
"[-1, -1, -1]","[-1, -1, -1]",aaa,2,-1,-1,2,1,-2,3,"['[', '[', '-', '1', ',', '1', ']', ',', '[', '0', ',', '-', '1', ']', ',', '[', '1', ',', '1', ']', ']']"
"[1, 1, 1]","[1, 1, 1]",AAA,2,-1,-1,-2,1,2,3,"['[', '[', '-', '1', ',', '1', ']', ',', '[', '0', ',', '-', '1', ']', ',', '[', '1', ',', '1', ']', ']']"
"[-2, -1, 2, -3, 4, 2, 3, 1, -4, 3]","[-2, -1, 2, -3, 4, 2, 3, 1, -4, 3]",baBcDBCAdC,5,1,1,0,0,0,1,"['[', '[', '0', ',', '1', ']', ']']"
"[-2, -1]",[],,3,1,1,0,0,0,1,"[[0,1]]"
"[2, -1, -1, 2, 1, 3, -1, 3, 2, -3, 1]","[2, -1, -1, 2, 1, 3, -1, 3, 2, -3, 1]",BaaBACaCBcA,4,1,1,0,0,0,1,"['[', '[', '0', ',', '1', ']', ']']"
"[1, 1, -2, -1, 2, 2]","[1, 1, -2, -1, 2, 2]",AAbaBB,3,-1,-1,-2,1,2,3,"['[', '[', '-', '1', ',', '1', ']', ',', '[', '0', ',', '-', '1', ']', ',', '[', '1', ',', '1', ']', ']']"
"[-1, -2, 3, 1, -2, -1, -3, -2, 1, -3, 2, 1, -2]","[-1, -2, 3, 1, -2, -1, -3, -2, 1, -3, 2, 1, -2]",abCAbacbAcBAb,4,1,1,0,0,0,1,"['[', '[', '0', ',', '1', ']', ']']"
"[-1, 2, -3, 2, -4, 3, -2, 1, -2, 1, -3, 4, 3, 2, -3, -4, 3, -2, -3, -4, 3, -1]","[-1, 2, -3, 2, -4, 3, -2, 1, -2, 1, -3, 4, 3, 2, -3, -4, 3, -2, -3, -4, 3, -1]",aBcBdCbAbAcDCBcdCbcdCa,5,1,1,0,0,0,1,"['[', '[', '0', ',', '1', ']', ']']"
"[2, 1, 2, 1]","[2, 1, 2, 1]",BABA,3,-1,-1,-2,1,2,3,"['[', '[', '-', '1', ',', '1', ']', ',', '[', '0', ',', '-', '1', ']', ',', '[', '1', ',', '1', ']', ']']"
"[-2, -2, -2, -1, -1, -1, -2, 1, 1, -2, 1, 1]","[-2, -2, -2, -1, -1, -1, -2, 1, 1, -2, 1, 1]",bbbaaabAAbAA,3,-1,-1,2,1,-2,75,"['[', '[', '-', '4', ',', '-', '1', ']', ',', '[', '-', '3', ',', '4', ']', ',', '[', '-', '2', ',', '-', '9', ']', ',', '[', '-', '1', ',', '1', '5', ']', ',', '[', '0', ',', '-', '1', '7', ']', ',', '[', '1', ',', '1', '5', ']', ',', '[', '2', ',', '-', '9', ']', ',', '[', '3', ',', '4', ']', ',', '[', '4', ',', '-', '1', ']', ']']"
"[-1, -1, -1, -1, -1]","[-1, -1, -1, -1, -1]",aaaaa,2,-3,-1,4,1,-4,5,"['[', '[', '-', '2', ',', '1', ']', ',', '[', '-', '1', ',', '-', '1', ']', ',', '[', '0', ',', '1', ']', ',', '[', '1', ',', '-', '1', ']', ',', '[', '2', ',', '1', ']', ']']"
"[2, 2, 2, -1, -1, -1, -2, 3, -2, -3, 1, 1, -2, -2, -1]","[2, 2, 2, -1, -1, -1, -2, 3, -2, -3, 1, 1, -2, -2, -1]",BBBaaabCbcAAbba,4,1,1,0,0,0,49,"['[', '[', '-', '4', ',', '1', ']', ',', '[', '-', '3', ',', '-', '3', ']', ',', '[', '-', '2', ',', '6', ']', ',', '[', '-', '1', ',', '-', '9', ']', ',', '[', '0', ',', '1', '1', ']', ',', '[', '1', ',', '-', '9', ']', ',', '[', '2', ',', '6', ']', ',', '[', '3', ',', '-', '3', ']', ',', '[', '4', ',', '1', ']', ']']"
"[2, 2, 1, -2, 1, 2]","[2, 2, 1, -2, 1, 2]",BBAbAB,3,-1,-1,-2,0,2,7,"['[', '[', '-', '1', ',', '2', ']', ',', '[', '0', ',', '-', '3', ']', ',', '[', '1', ',', '2', ']', ']']"
