Braid word,Simplified braid word,Braid string,Braid index,Euler characteristic lower bound,Euler characteristic upper bound,Rasmussen s-invariant,Arf invariant,Signature,Determinant,Alexander Polynomial
"[3, 3, 2, -3, 1]",[],,4,1,1,0,0,0,1,"[[0,1]]"
"[3, 2, -3, 2, 3, 3, -2, 3, 3, 1, 2, -3, -3, 2, -3, -2, 1]","[3, 2, -3, 2, 3, 3, -2, 3, 3, 1, 2, -3, -3, 2, -3, -2, 1]",CBcBCCbCCABccBcbA,4,-1,-1,-2,0,2,295,"[[-5,1],[-4,-6],[-3,18],[-2,-36],[-1,55],[0,-63],[1,55],[2,-36],[3,18],[4,-6],[5,1]]"
"[-1, -1, -1]","[-1, -1, -1]",aaa,2,-1,-1,2,1,-2,3,"[[-1,1],[0,-1],[1,1]]"
"[1, -2, -2, -1, -1, -2]","[1, -2, -2, -1, -1, -2]",Abbaab,3,-1,-1,2,0,-2,7,"[[-1,2],[0,-3],[1,2]]"
"[2, 2, -1, 3, 1, -2, -3, 1, -2, -1, 3, -1, 2, -3, -2, 1, 2, -3, -2, -1, -3, -2, -1]","[2, 2, -1, 3, 1, -2, -3, 1, -2, -1, 3, -1, 2, -3, -2, 1, 2, -3, -2, -1, -3, -2, -1]",BBaCAbcAbaCaBcbABcbacba,4,-1,-1,2,0,-2,15,"[[-2,-1],[-1,4],[0,-5],[1,4],[2,-1]]"
"[6, -1, 2, 1, -6, -3, -2, -4, -5, 3, 6, 4, 5, 6, 4, -5, -5, -6, -3, 5, 4, 2, 3, -4, 5, 6, -5, 4, -6, -5]","[6, -1, 2, 1, -6, -3, -2, -4, -5, 3, 6, 4, 5, 6, 4, -5, -5, -6, -3, 5, 4, 2, 3, -4, 5, 6, -5, 4, -6, -5]",FaBAfcbdeCFDEFDeefcEDBCdEFeDfe,7,1,1,0,0,0,9,"[[-2,1],[-1,-2],[0,3],[1,-2],[2,1]]"
"[-5, 4, 3, -4, 3, 5, 4, 3, 5, 3, 5, 3, -2, 4, -3, -4, 1, 4, -5, -3, -4]","[-3, 2, 1, -2, 1, 3, 2, 1, 3, 1, 3, 1, 2, -1, -3, -1, -2]",cBAbACBACACABacab,6,-1,-1,-2,0,2,15,"[[-1,4],[0,-7],[1,4]]"
"[-2, -3, -1, 2, 1, 2, -1, -3, -4, -1, 3, -2, -3, 1, 4, -1, -2, -2, 3, 3]","[-2, -3, -1, 2, 1, 2, -1, -3, -4, -1, 3, -2, -3, 1, 4, -1, -2, -2, 3, 3]",bcaBABacdaCbcADabbCC,5,1,1,0,0,0,9,"[[-2,1],[-1,-2],[0,3],[1,-2],[2,1]]"
"[-2, 1, 4, 3, 2, -3, 1, -2, -3, 2, 3, 2, -4, -1, 2, -3]","[-2, 1, 4, 3, 2, -3, 1, -2, -3, 2, 3, 2, -4, -1, 2, -3]",bADCBcAbcBCBdaBc,5,1,1,0,0,0,1,"[[0,1]]"
"[-2, -1, -1, 2, 1, -2]","[-2, -1, -1, 2, 1, -2]",baaBAb,3,-1,-1,2,1,-2,3,"[[-1,1],[0,-1],[1,1]]"
"[3, -2, -3, 4, -2, -4, 2, 3, 3, -4, 2, 1, -2, -3, -4, -2]","[2, -1, -2, 3, -1, -3, 1, 2, 2, -3, -2, -3, -1]",BabCacABBcbca,5,1,1,0,0,0,1,"[[0,1]]"
"[-2, -1, -3, -2, -1, 2, 3]","[-2, -1, -3, -2, -1, 2, 3]",bacbaBC,4,1,1,0,0,0,1,"[[0,1]]"
"[-2, -2, -2, -1, -1, -2, 1, -2, -1, 2, 1, 1]","[-2, -2, -2, -1, -1, -2, 1, -2, -1, 2, 1, 1]",bbbaabAbaBAA,3,-1,-1,2,1,-2,27,"[[-3,1],[-2,-3],[-1,6],[0,-7],[1,6],[2,-3],[3,1]]"
"[-3, 2, 3, -2, 3, 4, 3, -2, -5, 3, -4, -5, 4, -3, 5, 2, 3, 3, 3, 1, -2, -3, -4, -5, 4, 3, 2, -1, -2, 1, -2, -1, 2, -4, -3, -4, 2]","[-3, 2, 3, -2, 3, 4, 3, -2, -5, 3, -4, -5, 4, -3, 5, 2, 3, 3, 3, 1, -2, -3, -4, -5, 4, 3, 2, -1, -2, 1, -2, -1, 2, -4, -3, -4, 2]",cBCbCDCbeCdeDcEBCCCAbcdeDCBabAbaBdcdB,6,-1,-1,-2,1,2,75,"[[-4,-1],[-3,4],[-2,-9],[-1,15],[0,-17],[1,15],[2,-9],[3,4],[4,-1]]"
"[-1, 2]",[],,3,1,1,0,0,0,1,"[[0,1]]"
"[-2, 1, -2, -1, -1, 3, -4, -2, 4, 2, -3, 4, 5, -4, -4, 5, 3, 2, -1, -3, 4, 5, -4, 3, -2, -1, -3, 1, 2, -3, -4, -5, -6, 5, 4, 3]","[1, -2, -1, -1, 3, -4, -2, 4, 2, -3, 4, 5, -4, -4, 5, 3, 2, -1, -3, 4, 5, -4, 3, -2, -1, -3, 1]",AbaaCdbDBcDEddECBacDEdCbacA,7,1,1,0,0,0,1,"[[0,1]]"
"[-1, 2]",[],,3,1,1,0,0,0,1,"[[0,1]]"
"[2, 1, 2, 1]","[2, 1, 2, 1]",BABA,3,-1,-1,-2,1,2,3,"[[-1,1],[0,-1],[1,1]]"
"[-1, -2, -2, 1, 2, 2, -1, -1, -1, 2]","[-1, -2, -2, 1, 2, 2, -1, -1, -1, 2]",abbABBaaaB,3,-7,-1,2,1,-2,27,"[[-3,1],[-2,-3],[-1,6],[0,-7],[1,6],[2,-3],[3,1]]"
