Braid word,Braid string,Braid index,Euler characteristic lower bound,Euler characteristic upper bound,Rasmussen s-invariant,Arf invariant,Signature
"[2, -3, -3, -2, -3, 2, 3, -2, -2, -2, 1, -2, -1, -2, 3]",BccbcBCbbbAbabC,4,-3,-3,4,NC,NC
"[-2, -1, -2, -2]",aaa,3,-1,-1,2,NC,NC
"[2, -3, -3, 4, 3, 1, 1, 2, 1, 3, 2, 1, -2, -2, 1, -3, -2, -1, 2, 3, -2, 3]",BcAABACBAbbAcbaBCbC,5,-1,-1,-2,NC,NC
"[-1, -1, -1]",aaa,2,-3,-1,2,NC,NC
"[2, 3, -4, -3, 4, -3, -2, -4, -2, 4, 4, -3, -4, -4, 2, 2, -1, 4, 3, 1, -2, -1, -3, -4, -2, -1]",BCdcDcbdbDDcddBBaDCAbacdba,5,-1,-1,2,NC,NC
"[-2, -1, -1, -2, -1, -2]",baabab,3,-3,-3,4,NC,NC
"[4, 4, 5, -4, 5, -3, -5, -2, 5, -3, -4, 5, 4, 3, -5, -5, 2, 3, 4, -3, -2, 5, 2, 4, 5, 3, -5, -5, 4, 3, -1, -2, 1, -3, 5]",DDEdEcebEcdEDCeeBCDcbEBDECeeDCabAcE,6,-1,-1,-2,NC,NC
"[-3, 4, -2, -2, 3, 2, 2, -4, 3, 2, 4, 3, 1, -3, -4, 2, 4, -5, -3, 4, 1, 2, 3, 4, -5, -4, -3, -2, -1, 2, 2, -3, -2, -2, -4, 3, 5, -4, 2]",cDbbCBBdCBDCAcdBDecDABCDedcbaBBcbbdCEdB,6,-1,-1,-2,NC,NC
"[3, 1, 2]",,4,1,1,NC,0,1
"[-4, 2, -3, -2, -3, 2, 4, -3, -2, 3, -4, 2, -3, -4, -4, -2, 4, 1, -3, -2, 3, -1, 4, 2, -3, -2, 3, -2, -3, 4, 4, -3]",dBcbcBDcbCdBcddbDAcbCaDBcbCbcDDc,5,-1,-1,2,NC,NC
"[3, -2, 3, -2, -3, 2, -1, -1, -1, -3, 1, 2, 3, -2, -1]",CbCbcBaaacABCba,4,-1,-1,2,NC,NC
"[3, 1, 2, -1, 2, -1, -3, -2, 1, 2, 3]",CABaBacbABC,4,-1,-1,-2,NC,NC
"[2, 3, -2, -1, -3, 2, -3, 1, -3, -1, 3, -2, 3, -2, -2, 3, 3, 2, 1, 3, 3, 3, 1]",BCbacBcAcaCbCbbCCBACCCA,4,-1,-1,-2,NC,NC
"[-2, 1, 1, -2, 4, 3, -4, 2, 4, -3, -4, -2, 4, 3, 2, -4, -3, 2, 3, 4, -2, -3, -3, -3, -4, -2, -2, -1, 2, 2, -1, -1]",bAAbDCdBDcdbDCBdcBCDbcccdbbaBBaa,5,-1,-1,2,NC,NC
"[-1, -1, -1]",aaa,2,-1,-1,2,NC,NC
"[3, -2, 1]",,4,1,1,NC,0,-1
"[-1, -1, -2, -2, -2, 1, 2, 2]",aabbbABB,3,-3,-1,2,NC,NC
"[-2, -2, 1, -2]",aaa,3,-1,-1,2,NC,NC
"[3, -1, -1, -2, -2, -2, -1, 2, 1, 2, -1, -1, 2, -1, 2, -3, 2, 1, -2]",CaabbbaBABaaBaBcBAb,4,-3,-1,2,NC,NC
