Braid word,Simplified braid word,Braid string,Braid index,Euler characteristic lower bound,Euler characteristic upper bound,Rasmussen s-invariant,Arf invariant,Signature,Determinant,Alexander Polynomial
"[2, 1, -2, -1, 2, 2]","[2, 1, -2, -1, 2, 2]",BAbaBB,3,-1,-1,-2,1,2,3,"['[', '[', '-', '1', ',', '1', ']', ',', '[', '0', ',', '-', '1', ']', ',', '[', '1', ',', '1', ']', ']']"
"[-3, -3, -3, -1, 2, -3, -2, 1, 4, -3, 2, -3, -2, -4]","[-3, -3, -3, -1, 2, -3, -2, 1, 4, -3, 2, -3, -2, -4]",cccaBcbADcBcbd,5,-1,-1,2,1,-2,3,"['[', '[', '-', '1', ',', '1', ']', ',', '[', '0', ',', '-', '1', ']', ',', '[', '1', ',', '1', ']', ']']"
"[-4, -3, -5, -2, 1, -4, -3, -2, -1, 2, 3, 4, -1, 2, 5, 3, -1, -5, 4, 3, -2, -3, -4, 5, 1, 4, 3, 2, 3, -2, 4, -3, 4, 6, 5, -6]","[-4, -3, -5, -2, 1, -4, -3, -2, -1, 2, 3, 4, -1, 2, 5, 3, -1, -5, 4, 3, -2, -3, -4, 5, 1, 4, 3, 2, 3, -2, 4, -3, 4, 6, 5, -6]",dcebAdcbaBCDaBECaeDCbcdEADCBCbDcDFEf,7,1,1,0,0,0,9,"['[', '[', '-', '4', ',', '1', ']', ',', '[', '-', '3', ',', '-', '1', ']', ',', '[', '-', '1', ',', '-', '1', ']', ',', '[', '0', ',', '3', ']', ',', '[', '1', ',', '-', '1', ']', ',', '[', '3', ',', '-', '1', ']', ',', '[', '4', ',', '1', ']', ']']"
"[2, -3, -3, 2, 1, 1, 2, 3, -2, -2, 3, 1, 3]","[2, -3, -3, 2, 1, 1, 2, 3, -2, -2, 3, 1, 3]",BccBAABCbbCAC,4,-1,-1,-2,1,2,75,"['[', '[', '-', '4', ',', '-', '1', ']', ',', '[', '-', '3', ',', '4', ']', ',', '[', '-', '2', ',', '-', '9', ']', ',', '[', '-', '1', ',', '1', '5', ']', ',', '[', '0', ',', '-', '1', '7', ']', ',', '[', '1', ',', '1', '5', ']', ',', '[', '2', ',', '-', '9', ']', ',', '[', '3', ',', '4', ']', ',', '[', '4', ',', '-', '1', ']', ']']"
"[-4, -1, 2, 2, -3, -2, 3, 4, 1, 4, -2, -2, -4, -1, 2, -3, -4, 3, -2, -4, -3, -2, 4, -3, -2, 3]","[-4, -1, 2, 2, -3, -2, 3, 4, 1, 4, -2, -2, -4, -1, 2, -3, -4, 3, -2, -4, -3, -2, 4, -3, -2, 3]",daBBcbCDADbbdaBcdCbdcbDcbC,5,-1,-1,2,1,-2,67,"['[', '[', '-', '3', ',', '2', ']', ',', '[', '-', '2', ',', '-', '7', ']', ',', '[', '-', '1', ',', '1', '5', ']', ',', '[', '0', ',', '-', '1', '9', ']', ',', '[', '1', ',', '1', '5', ']', ',', '[', '2', ',', '-', '7', ']', ',', '[', '3', ',', '2', ']', ']']"
"[1, -3, -1, 2, 1, 3, 2, -1, -2, 4, -3, 2, 3, -4, -1, -3, -1, -1, 2, 1, 1, 4, 3, 2]","[1, -3, -1, 2, 1, 3, 2, -1, -2, 4, -3, 2, 3, -4, -1, -3, -1, -1, 2, 1, 1, 4, 3, 2]",AcaBACBabDcBCdacaaBAADCB,5,1,1,0,0,0,1,"['[', '[', '-', '3', ',', '1', ']', ',', '[', '-', '2', ',', '-', '1', ']', ',', '[', '-', '1', ',', '-', '1', ']', ',', '[', '0', ',', '3', ']', ',', '[', '1', ',', '-', '1', ']', ',', '[', '2', ',', '-', '1', ']', ',', '[', '3', ',', '1', ']', ']']"
"[-1, 3, 4, -2, -3, -2, -2, 4, 3, 4, 4, 3]","[2, 3, -1, -2, -1, -1, 3, 2, 3, 3, 2]",BCabaaCBCCB,5,-1,-1,-2,0,2,7,"['[', '[', '-', '1', ',', '2', ']', ',', '[', '0', ',', '-', '3', ']', ',', '[', '1', ',', '2', ']', ']']"
"[-2, -4, -3, -2, -2, -3, 2, 2, -4, 3, -4, -1, 4, 4, 2, -3]","[-1, -3, -2, -1, -1, -2, 1, 1, -3, 2, 3, 1, -2]",acbaabAAcBCAb,5,1,1,0,0,0,1,"['[', '[', '0', ',', '1', ']', ']']"
"[-4, -2, -3, 4, -2, -3, 4, -1, 3, -2, -3, 1, -4, 2, 2, -3, -2, -2, 4, -3]","[-4, -2, -3, 4, -2, -3, 4, -1, 3, -2, -3, 1, -4, 2, 2, -3, -2, -2, 4, -3]",dbcDbcDaCbcAdBBcbbDc,5,-1,-1,2,0,-2,7,"['[', '[', '-', '1', ',', '2', ']', ',', '[', '0', ',', '-', '3', ']', ',', '[', '1', ',', '2', ']', ']']"
"[-1, 2, 1, -2, -2, 1, 1, -3, 1, -3, 2, 1, 2, -3, 2, 3, -2, -2, 3, -2, -1, -2, 3, 1, 3, 2, 3]","[-1, 2, 1, -2, -2, 1, 1, -3, 1, -3, 2, 1, 2, -3, 2, 3, -2, -2, 3, -2, -1, -2, 3, 1, 3, 2, 3]",aBAbbAAcAcBABcBCbbCbabCACBC,4,-1,-1,-2,0,2,639,"['[', '[', '-', '8', ',', '1', ']', ',', '[', '-', '7', ',', '-', '3', ']', ',', '[', '-', '6', ',', '4', ']', ',', '[', '-', '5', ',', '1', ']', ',', '[', '-', '4', ',', '-', '1', '7', ']', ',', '[', '-', '3', ',', '4', '6', ']', ',', '[', '-', '2', ',', '-', '8', '3', ']', ',', '[', '-', '1', ',', '1', '1', '6', ']', ',', '[', '0', ',', '-', '1', '2', '9', ']', ',', '[', '1', ',', '1', '1', '6', ']', ',', '[', '2', ',', '-', '8', '3', ']', ',', '[', '3', ',', '4', '6', ']', ',', '[', '4', ',', '-', '1', '7', ']', ',', '[', '5', ',', '1', ']', ',', '[', '6', ',', '4', ']', ',', '[', '7', ',', '-', '3', ']', ',', '[', '8', ',', '1', ']', ']']"
